initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
ambra1b	ambra1b	ENSDARG00000039878	autophagy/beclin-1 regulator 1b [Source:ZFIN;Acc:ZDB-GENE-050208-235]
psmb2	psmb2	ENSDARG00000031511	proteasome 20S subunit beta 2 [Source:ZFIN;Acc:ZDB-GENE-040718-353]
ambra1	ambra1a	ENSDARG00000008322	autophagy/beclin-1 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-111104-2]
psmc6	psmc6	ENSDARG00000114650 ENSDARG00000037038 ENSDARG00000111223	proteasome 26S subunit, ATPase 6 [Source:ZFIN;Acc:ZDB-GENE-030131-304]
nfe2l2a	nfe2l2a	ENSDARG00000042824	nuclear factor, erythroid 2-like 2a [Source:ZFIN;Acc:ZDB-GENE-030723-2]
atg4c	atg4c	ENSDARG00000044373	autophagy related 4C, cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-040625-84]
dnaja1	dnaja1	ENSDARG00000030972	DnaJ heat shock protein family (Hsp40) member A1 [Source:ZFIN;Acc:ZDB-GENE-030131-2642]
hdac3	hdac3	ENSDARG00000110316 ENSDARG00000037514	histone deacetylase 3 [Source:NCBI gene;Acc:393965]
atg9b	atg9b	ENSDARG00000055292	autophagy related 9B [Source:ZFIN;Acc:ZDB-GENE-091111-3]
ppib	ppib	ENSDARG00000092798	peptidylprolyl isomerase B (cyclophilin B) [Source:ZFIN;Acc:ZDB-GENE-040426-1955]
ulk1b	ulk1b	ENSDARG00000074481	unc-51 like autophagy activating kinase 1 [Source:ZFIN;Acc:ZDB-GENE-071203-2]
hdac9b	hdac9b	ENSDARG00000056642	histone deacetylase 9b [Source:NCBI gene;Acc:393789]
psmf1	psmf1	ENSDARG00000022652	proteasome inhibitor subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040718-282]
syvn1	syvn1	ENSDARG00000017842	synovial apoptosis inhibitor 1, synoviolin [Source:NCBI gene;Acc:335226]
zgc:92716	psma6b	ENSDARG00000013966	proteasome 20S subunit alpha 6b [Source:ZFIN;Acc:ZDB-GENE-040718-329]
atg16l2	atg16l2	ENSDARG00000109384 ENSDARG00000043238	ATG16 autophagy related 16-like 2 (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-060503-197]
p4hb	p4hb	ENSDARG00000116847 ENSDARG00000105116	prolyl 4-hydroxylase, beta polypeptide [Source:ZFIN;Acc:ZDB-GENE-080610-1]
hspa5	hspa5	ENSDARG00000103846	heat shock protein 5 [Source:NCBI gene;Acc:378848]
atf4b1	atf4a	ENSDARG00000111939	activating transcription factor 4a [Source:NCBI gene;Acc:406514]
psmd13	psmd13	ENSDARG00000016239	proteasome 26S subunit, non-ATPase 13 [Source:ZFIN;Acc:ZDB-GENE-040426-1004]
sigmar1	sigmar1	ENSDARG00000011418	sigma non-opioid intracellular receptor 1 [Source:NCBI gene;Acc:393952]
ube2d1b	ube2d1b	ENSDARG00000038576	ubiquitin-conjugating enzyme E2D 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2735]
atg4db	atg4db	ENSDARG00000088145	autophagy related 4D, cysteine peptidase b [Source:ZFIN;Acc:ZDB-GENE-131025-1]
dnaja3b	dnaja3b	ENSDARG00000102295	DnaJ heat shock protein family (Hsp40) member A3b [Source:ZFIN;Acc:ZDB-GENE-040115-3]
ddost	ddost	ENSDARG00000037318	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic) [Source:NCBI gene;Acc:406408]
CABZ01079870.1	CABZ01079870.1	ENSDARG00000117260	
dnajb9b	dnajb9b	ENSDARG00000016886	DnaJ heat shock protein family (Hsp40) member B9b [Source:ZFIN;Acc:ZDB-GENE-050522-76]
psmd12	psmd12	ENSDARG00000052377	proteasome 26S subunit, non-ATPase 12 [Source:ZFIN;Acc:ZDB-GENE-030131-617]
wipi2	wipi2	ENSDARG00000037871	WD repeat domain, phosphoinositide interacting 2 [Source:ZFIN;Acc:ZDB-GENE-040718-488]
hspa4a	hspa4a	ENSDARG00000004754	heat shock protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2832]
atg10	atg10	ENSDARG00000104846	ATG10 autophagy related 10 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-051030-72]
atg5	atg5	ENSDARG00000023396	ATG5 autophagy related 5 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040801-149]
psmb3	psmb3	ENSDARG00000013938	proteasome 20S subunit beta 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2682]
hdac4	hdac4	ENSDARG00000098349	histone deacetylase 4 [Source:ZFIN;Acc:ZDB-GENE-061013-95]
ATG2A	ATG2A	ENSDARG00000101507	si:ch73-45o6.2 [Source:ZFIN;Acc:ZDB-GENE-091204-142]
psmd1	psmd1	ENSDARG00000003189	proteasome 26S subunit, non-ATPase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-810]
psme4b	psme4b	ENSDARG00000112854 ENSDARG00000114902 ENSDARG00000018742	proteasome activator subunit 4b [Source:NCBI gene;Acc:553346]
pdia5	pdia5	ENSDARG00000069242	protein disulfide isomerase family A, member 5 [Source:ZFIN;Acc:ZDB-GENE-030521-5]
si:ch211-199o1.2	hspa1b	ENSDARG00000056210	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]
rpn2	rpn2	ENSDARG00000009724	ribophorin II [Source:ZFIN;Acc:ZDB-GENE-030131-7928]
ulk2	ulk2	ENSDARG00000097205	unc-51 like autophagy activating kinase 2 [Source:ZFIN;Acc:ZDB-GENE-090218-30]
hdac9	hdac9b	ENSDARG00000056642	histone deacetylase 9b [Source:NCBI gene;Acc:393789]
dnajb9a	dnajb9a	ENSDARG00000052072	DnaJ heat shock protein family (Hsp40) member B9a [Source:ZFIN;Acc:ZDB-GENE-050626-115]
hspe1	hspe1	ENSDARG00000056167	heat shock 10 protein 1 [Source:ZFIN;Acc:ZDB-GENE-000906-2]
tra1	thraa	ENSDARG00000000151	thyroid hormone receptor alpha a [Source:NCBI gene;Acc:30670]
psmb6	psmb6	ENSDARG00000002240	proteasome 20S subunit beta 6 [Source:ZFIN;Acc:ZDB-GENE-990415-216]
psmb4	psmb4	ENSDARG00000054696	proteasome 20S subunit beta 4 [Source:ZFIN;Acc:ZDB-GENE-050417-333]
dnajb11	dnajb11	ENSDARG00000015088	DnaJ heat shock protein family (Hsp40) member B11 [Source:ZFIN;Acc:ZDB-GENE-031113-9]
mfn2	mfn2	ENSDARG00000079504	mitofusin 2 [Source:ZFIN;Acc:ZDB-GENE-081105-44]
gabarapa	gabarapa	ENSDARG00000110690 ENSDARG00000035557	GABA(A) receptor-associated protein a [Source:ZFIN;Acc:ZDB-GENE-030131-5174]
edem2	edem2	ENSDARG00000028448	ER degradation enhancer, mannosidase alpha-like 2 [Source:ZFIN;Acc:ZDB-GENE-060519-1]
bag4	bag4	ENSDARG00000043179	BCL2 associated athanogene 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5484]
hspb2	hspb2	ENSDARG00000052450 ENSDARG00000114010	heat shock protein, alpha-crystallin-related, b2 [Source:ZFIN;Acc:ZDB-GENE-050417-260]
pdia2	pdia2	ENSDARG00000018263	protein disulfide isomerase family A, member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-705]
PSMB11	psmb12	ENSDARG00000031885	proteasome 20S subunit beta 12 [Source:ZFIN;Acc:ZDB-GENE-001208-1]
